REVIEW_PANEL,MEDICALSPECIALTY,PRODUCTCODE,DEVICENAME,DEVICECLASS,UNCLASSIFIED_REASON,GMPEXEMPTFLAG,THIRDPARTYFLAG,REVIEWCODE,REGULATIONNUMBER,SUBMISSION_TYPE_ID,SUBMISSION_TYPE,DEFINITION,PHYSICALSTATE,TECHNICALMETHOD,TARGETAREA,Implant_Flag,Life_Sustain_support_flag,SummaryMalfunctionReporting
PA,Pathology,OYX,Bcr/Abl1 Monitoring Test,2,IDE,N,N,,866.6060,1,510(K),A BCR/ABL1 Monitoring Test is a quantitative in vitro diagnostic device used to monitor the BCR/ABL1 to ABL1 ratio by reverse-transcriptase quantitative polymerase chain reaction (RQ-PCR) on whole blood or bone marrow of diagnosed Philadelphia chromosome positive (Ph+) chronic myeloid leukemia (CML) patients expressing BCR-ABL1 fusion transcripts such as e13a2 and/or e14a2. It is intended for use during monitoring of treatment response by reporting results on the international scale (%IS) and as log molecular reduction (MR) value.,Multiplex quantitative RT-PCR assay to detect chromosome translocation fusion transcripts and control transcripts test system.,The test uses multiplex reverse–transcriptase polymerase chain reaction to detect and determine BCR-ABL1 (such as e13a2 and/or e14a2) fusion transcript levels and quantifies them relative to levels of ABL1 transcript (or other validated control gene).  The test may utilize other technologies and/or quantification methods.,Peripheral human whole blood or bone marrow.,N,N,Eligible
HO,General Hospital,OSI,Bariatric Bed,2,IDE,N,N,,880.5100,4,510(K) Exempt,A bed intended for obese patients weighing 500 pounds and above.  Beds can expand from 38 to 60 inches in width.,Bed,Bed,Bed,N,N,Eligible
SU,General & Plastic Surgery,REF,Suntan Bed,2,IDE,N,Y,,878.4635,1,510(K),"A bed or other platform that is designed to incorporate one or more ultraviolet lamps and intended for irradiation of any part of the human body, by ultraviolet radiation with wavelengths in air between 200 and 400 nanometers, to induce skin tanning.",,,,N,N,Ineligible
GU,Gastroenterology & Urology,PNB,Biliary Stent System For Benign Strictures,2,IDE,N,N,,876.5011,1,510(K),A benign stricture biliary stent system is a prescription device intended for treatment of benign biliary strictures. Stents are intended to be left indwelling for a limited amount of time and subsequently removed. The device consists of a metal stent and a delivery system intended to place the stent in the biliary ducts.,Device consists of an expandable metal stent and a delivery catheter,Maintains biliary duct patency,Bile ducts,Y,N,Eligible
CH,Clinical Chemistry,OZQ,"Automated Insulin Dosing  Device System, Bihormonal Control",3,For Export Only,N,N,,,2,PMA,A bihormonal automated insulin dosing system that achieves a target glucose level by automatically adjusting two glucose modulating therapies from an infusion pump. Hormone adjustments are based upon specified thresholds of measured glucose levels.,"May include: Continuous glucose monitoring system, sensor, self monitoring blood glucose device, infusion pump, data management software",Uses a glucose monitoring system to measure glucose levels and increases or reduces two glucose modulating therapies from an insulin pump,"Not meant to act on a specific part of the body but works with other devices - Continuous glucose monitoring system, sensor, self monitoring blood glucose device, data management software",N,N,Ineligible
CH,Clinical Chemistry,PJE,Blood/Plasma Collection Device For Dna Testing,2,IDE,N,N,,862.1675,1,510(K),A blood collection device for DNA testing is an in vitro diagnostics device intended to collect and transport blood specimens to the laboratory for clinical DNA testing.,Blood collection device,The blood is drawn in the tube to be transported to the laboratory for clinical DNA testing.,Whole blood/ plasma for in vitro diagnostics,N,N,Ineligible
CV,Cardiovascular,DXQ,Blood Pressure Cuff,2,IDE,N,Y,,870.1120,1,510(K),A blood pressure cuff is a device that has an inflatable bladder in an elastic sleeve (cuff) with a mechanism for inflating the bladder.  The cuff is used to determine a subject's blood pressure.,,,,N,N,Eligible
CV,Cardiovascular,OZD,Temporary Non-Roller Type Left Heart Support Blood Pump,3,For Export Only,N,N,,,2,PMA,A blood pump that provides temporary full or partial left heart support,"Rotor or axial type pump manufactured of various materials.  Single use, disposable.","pumps part or all of the patient's blood circulation either during an adjunctive procedure where the patient requires hemodynamic stability, or a temporary use of the device to unload the heart to give it time to recover from an acute condition.",Heart,N,Y,Ineligible
RA,Radiology,MUA,Bone Sonometer,2,IDE,N,N,,892.1180,1,510(K),"A bone sonometer is a device that transmits ultrasound energy into the human body to measure acoustic properties of bone that indicate overall bone health and fracture risk. The primary components of the device are a voltage generator, a transmitting transducer, a receiving transducer, and hardware and software for   reception and processing of the received ultrasonic signal.  Reclassified from class 3 pma to class 2 510(k) 892.1180 [docket no. Fda-2005-n-0346] reclassification of bone sonometers",,,,N,N,Eligible
OB,Obstetrics/Gynecology,NKA,"System, Documentation, Breast Lesion",2,IDE,N,N,,884.2990,1,510(K),A Breast lesion documentation device is a device for recording and documenting palpable breast lesions detected during a clinical breast exam.,,,,N,N,Eligible
CH,Clinical Chemistry,QEI,Breast Milk Macronutrients Test System,2,IDE,N,N,,862.1493,1,510(K),"A breast milk macronutrient test system is a device intended to quantitatively measure fat, protein, and total carbohydrate content in human breast milk. These measurements, in conjunction with other clinical assessments, may be used to aid in the nutritional management of infants.",In vitro diagnostic device,"Quantitative, mid-infrared spectroscopy",Human breast milk,N,N,Ineligible
CH,Clinical Chemistry,PRJ,Capillary Blood Collection Device For Alternative Site Collection,2,IDE,N,N,,862.1675,1,510(K),A capillary blood collection device with or without integrated micro-needles is a blood collection device intended to collect and/or transport capillary whole blood specimens for testing of clinical analytes.,Sterile blood collection device which may or may not have micro-needles or other skin puncture mechanism integrated with the device.  The device may include an anticoagulant or preservative.,The blood is drawn into the collection device by puncture of capillaries located near the surface of the skin using micro-needles or similar small sharp objects.,Capillary whole blood for in vitro diagnostic testing,N,N,Ineligible
SU,General & Plastic Surgery,PQN,Carbon Dioxide Gas Controlled Tissue Expander,2,IDE,N,N,,878.3510,1,510(K),A carbon dioxide gas controlled tissue expander is intended for tissue expansion.,It includes an inflatable elastomer shell with an implanted canister containing compressed carbon dioxide.  It includes a remote controller that communicates with the implanted tissue expander to release carbon dioxide from the implanted canister into the shell.,A carbon dioxide gas controlled tissue expander is made of an inflatable elastomer shell and is filled with carbon dioxide gas.  It utilizes a remote controller to administer doses of carbon dioxide gas from an implanted canister inside the tissue expander.,"Breasts, soft tissue",Y,N,Eligible
HO,General Hospital,QKM,A Chemical Vapor Sterilization Multivariable Chemical Indicator,2,IDE,N,N,,880.2800,1,510(K),A chemical vapor sterilization multivariable chemical indicator monitors two or more  parameters of a chemical vapor sterilization process.,The device consists of chemicals attached to a non-reactive material surface that react to two or sterilization process parameters.,Uses chemical reactions to indicate a pass signal to sterilization parameters that are consistent with identified stated values,not intended for patient contact,N,N,Ineligible
MG,Immunology,PNK,"Fluorescence In Situ Hybridization, Chromosome 17p Deletion (Tp53)",3,For Export Only,N,N,,,2,PMA,A chromosome 17p deletion (TP53) fluorescence in situ hybridization (FISH) kit is a test to detect deletion of the TP53 gene in peripheral blood specimens from patients with B-cell chronic lymphocytic leukemia (CLL).,"Probe Kit consists of slide preparation materials, fluorescent FISH probes, buffers and nuclear counterstain, followed by manual signal enumeration using a fluorescence-enabled microscope.",The assay uses fluorescence in situ hybridization to identify a deletion in chromosome 17 at the TP53 gene locus in peripheral blood from CLL Patients.,Peripheral blood,N,N,Ineligible
PA,Pathology,OQS,Laboratory Developed Test,6,Enforcement Discretion,N,N,,,7,Enforcement Discretion,A clinical diagnostic test for use in the diagnosis of disease or other conditions that was developed by CLIA certified clinical laboratory for use in that laboratory. This product is neither an Analyte Specific Reagent nor are the components for Research Use Only. The reporting of adverse events is voluntary and registering and listing is not required.,In vitro diagnostic device,In vitro diagnostic device,In vitro diagnostic device,N,N,Eligible
DE,Dental,QCJ,Closed Loop Auto Titration Device For Oral Appliances,2,IDE,N,N,,872.5571,1,510(K),A closed-loop autotitration device for intraoral appliances uses a feedback control to record changes in the patient’s respiratory status related to repositioning of the mandible during an overnight study.  The data are analyzed by a Healthcare Provider and can then be used to prospectively identify patients with mild to moderate obstructive sleep apnea who may be suitable for therapy with an oral appliance and to recommend a target mandibular position.,Temporary intraoral mouthpiece attached to recorders and sensors to monitor physiologic responses to airflow and oxygen desaturation during sleep.,Device functions as a closed loop auto titration device.,Oral cavity.,N,N,Ineligible
TX,Clinical Toxicology,QKT,Clozapine Test System,2,IDE,N,N,,862.3245,1,510(K),A clozapine test system is intended for the in vitro quantitative measurement of clozapine in human specimens.,In vitro diagnostic device,Immunoassay,Human specimens,N,N,Ineligible
HE,Hematology,QFR,Coagulation System For The Measurement Of Whole Blood Viscoelastic Properties,2,IDE,N,N,,864.5430,1,510(K),"A coagulation system for the measurement of whole blood viscoelastic properties is an in vitro diagnostic device used to evaluate blood coagulation, fibrinolysis, or both, in patients.",Automated or semi-automated instrument with ultrasound-based technology. Cartridges with reagents.,Ultrasound technology to assess coagulation characteristics of blood.,Blood,N,N,Ineligible
MI,Microbiology,QAA,Coccidioides Spp. Nucleic Acid Detection System For Respiratory Specimens,2,IDE,N,N,,866.3376,1,510(K),A Coccidioides spp. nucleic acid detection system for respiratory specimens is a qualitative test for the detection of Coccidioides spp. nucleic acids directly in clinical respiratory specimens from patients with signs and symptoms of coccidioidomycosis and suspicion of infection.,In vitro diagnostic devices that consist of reagents and associated instrumentation for the detection and identification of Coccidioides spp. nucleic acids in respiratory specimens.,Qualitative in vitro diagnostic assay that detects and identifies Coccidioides spp. nucleic acids in respiratory specimens.,Respiratory clinical specimens from patients suspected of coccidioidomycosis,N,N,Eligible
CH,Clinical Chemistry,OYJ,"Dna Specimen Collection, Saliva",2,IDE,N,N,,862.1675,1,510(K),A collection device intended for use in the non-invasive collection of saliva samples for clinical dna testing.,specimen collection device,Collects DNA in saliva and stabilizes it for transport or storage,clinical samples (saliva),N,N,Ineligible
SU,General & Plastic Surgery,ONA,Computer Assisted Hair Harvesting System,2,IDE,N,N,,882.4560,1,510(K),A computer assisted harvesting system used in identifying and extracting hair follicular units and indicated to assist surgeon in identifying and extracting hair follicular units during hair transplantation.,"computer assisted station with needle mechanism, force sensor, robotic arm and video imaging system",computer assisted harvesting sysem,scalp,N,N,Ineligible
NE,Neurology,OBV,Eating Disorder Conditioning Tool,2,IDE,N,N,,882.5060,1,510(K),"A conditioning tool for eating disorders is a medical device that non-invasively measures the mass of food eaten during a meal and provides feedback in the form of eating rate, patient satiety, and eating pattern information to the patient.",A flat scale is connected to a monitor which records data and displays the food consumption rate.  The monitor also prompts the user for satiety sensation and displays trend.,Uses scale to meaure weight of plate during meal.  Prompts user to provide feedback on satiety during meal.  Provides display for actual and target food consumption rate.,brain and stomach,N,N,Eligible
HE,Hematology,OAO,Cord Blood Processing System And Storage Container,2,IDE,N,N,,864.9900,1,510(K),"A cord blood processing system and storage container is a device intended for use in the processing and the storage of cord blood. This device is used as a functionally closed processing system by cord blood establishments.  This device includes containers, other soft goods, and centrifugation systems for cord blood product concentration, and a final container for the cryopreservation and the storage of cord blood products.",x,x,blood storage,N,N,Eligible
CV,Cardiovascular,PJA,Coronary Vascular Physiologic Simulation Software,2,IDE,N,N,,870.1415,1,510(K),A coronary vascular physiologic simulation software device is intended to aid in the identification of functionally significant cardiovascular disease.,Software,Performs offline analysis of pre-existing imaging data to simulate blood flow in the coronary vasculature.,Coronary Vasculature,N,N,Ineligible
NE,Neurology,PBJ,Cranial Distraction System,2,IDE,N,N,,882.5330,1,510(K),A cranial distraction system is a metal device intended to establish osteodistraction and bone growth in the skull.  The bone segments are attached to the plate with screws to prevent movement of the segments.,"May include: distractors, distraction plates, spacers, screws and instrumentation",Bone segments are attached to the plate with screws to prevent movement of the segments.,"Cranium, skull",Y,Y,Eligible
NE,Neurology,POP,Cranial Motion Measurement Device,2,IDE,N,Y,,882.1630,1,510(K),A cranial motion measurement device is a prescription device that utilizes accelerometers to measure the motion or acceleration of the skull.  These measurements are not to be used for diagnostic purposes.,Accelerometer hardware. May include headset to aid in positioning. May include additional sensors (e.g. photoplethysmography). May include hardware and software to allow for data collection and review. Does not include software that outputs any clinical interpretation of the data.,"Uses a headset containing accelerometers positioned around the head to measure motion or acceleration, and may use a photoplethysmography sensor to detect heartbeat.",Head,N,N,Eligible
NE,Neurology,OAN,"Orthosis, Cranial, Laser Scan",2,IDE,N,N,,882.5970,1,510(K),"A cranial orthosis is a device that is intended for medical purposes to apply pressure to prominent regions of an infant's cranium in order to improve cranial symmetry and/or shape.  A laser scanning accessory may be used to create a scan of the infant's head.  Indicated for infants from 3 to 18 months of age, with moderate to severe nonsynostotic positional plagiocephaly, including infants with plagiocephalic-, brachycephalic-, and scaphocephalic-shaped heads.","Cranial orthotics are custom-made for each patient's head.  They are typically made from plastics, foam and velcro.",A mold is made of the baby's head to create the orthotic.  Plaster or laser scanning may be used to create the mold.,Infant craniums,N,N,Eligible
DE,Dental,NRU,"Chair, Dental, Without Operative Unit",1,Pre-Amendment,N,N,,872.6250,4,510(K) Exempt,"A dental chair is a device, usually powered, that is intended to seat a patient in the proper position to perform a dental procedure.",,,,N,N,Eligible
AN,Anesthesiology,NHO,"Analyzer, Gas, Desflurane, Gaseous-Phase (Anesthetic Concentration)",2,IDE,N,Y,,868.1500,1,510(K),A desflurane gas analyzer is a device intended to measure the concentration of desflurane anesthetic in a gas mixture.,,,,N,N,Eligible
SU,General & Plastic Surgery,PYO,"Tape And Bandage, Adhesive, Adjustable Closing Mechanism, Otc Use",1,Pre-Amendment,N,N,,880.5240,4,510(K) Exempt,"A device intended for medical purposes that consists of a strip of fabric material or plastic, coated on one side with an adhesive, and may include a pad of surgical dressing without a disinfectant. The device is used to cover and protect wounds, to hold together the skin edges of a wound, to support an injured part of the body, or to secure objects to the skin","An adhesive tape, bandage, or adjustable closing mechanism","An adhesive tape, bandage, or adjustable closing mechanism that is applied to minor cuts and lacerations",Use on superficial minor cuts and lacerations. Excluding use on burn wounds and deeps wounds.,N,N,Ineligible
IM,Immunology,NID,"Assay, Proliferation, In Vitro, T Lymphocyte",2,IDE,N,Y,,864.5220,1,510(K),A device measuring the constituents of dividing DNA or other pre-division cellular constituents to classify the ability of T lymphocytes (a type of normal white blood mononuclear cell) to divide or proliferate in response to specific or non-specific added stimulants. The T lymphocytes may be normal in number or abnormally low in number due to a natural or induced immunosuppressed state in the patient.,,,,N,N,Eligible
CV,Cardiovascular,PMK,Cpr Aid Device Without Feedback,1,Pre-Amendment,N,N,,870.5210,4,510(K) Exempt,"A device that performs a simple function such as proper hand placement and/or simple prompting for rate and/or timing of compressions/breathing for the professionally trained rescuer, but offers no feedback related to the quality of the CPR being provided.  These devices are intended for use by persons professionally trained in CPR to assure proper use and the delivery of optimal CPR to the victim.","External device that provides audio and/or visual prompting of rate and/or ventilation and/or proper placement of hands for CPR, in accordance with current CPR Guidelines.","mechanical, electro-mechanical, software can be included. Prompting only -  no real-time feedback related to the CPR being performed.",Near rescuer (non patient contact) on chest - skin contact.,N,N,Eligible
DE,Dental,OCO,"Mouthguard, Migraine/Tension Headache",1,Pre-Amendment,N,N,,,1,510(K),"A device to be used in the prophylactic treatment of medically diagnosed migraine pain as well as migraine associated tension-type headaches, by reducing their signs and symptoms through reduction of trigeminally innervated muscular activity, and; For the prevention of bruxism and tmj syndrome through reduction of trigeminally innervated muscular activity.",Plastic mouthguard fitted to the teeth,Mouthguard repositions the jaw to reduce muscle tension,Oral cavity,N,N,Eligible
MI,Microbiology,QGN,Lateral Flow Immunochromatography Assay For Host Infection Biomarkers,2,IDE,N,N,,866.3230,1,510(K),"A device to detect and measure non-microbial analytes to aid in the detection and identification of localized human infections is identified as an in vitro device intended for the detection and qualitative measurement, quantitative measurement, or both of one or more non-microbial analytes in human clinical specimens to aid in the assessment, identification, or both of a localized microbial infection when used in conjunction with clinical signs and symptoms and other clinical and laboratory findings.",In vitro diagnostic device.,Lateral flow immunochromatography.,Synovial fluid.,N,N,Ineligible
MI,Microbiology,QID,Device To Detect Antigens Of Biothreat Microbial Agents In Human Clinical Specimens,2,IDE,N,N,,866.4002,1,510(K),A device to detect antigens of biothreat microbial agents in human clinical specimens is identified as an in vitro diagnostic device intended for the detection of antigens of microbial agents in specimens collected from patients with signs and symptoms of infection with biothreat microbial agents and who have been exposed to these agents or are suspected or at risk of exposure.  Devices to detect antigens of biothreat microbial agents in human clinical specimens may be used for cadaver testing if the cadaver constitutes a source of human-to-human transmission and if testing is performed to prevent human disease.,Membrane-bound antibodies in a plastic housing,Lateral flow chromatographic test,Samples from the human body,N,Y,Ineligible
MI,Microbiology,QFA,Assay For Detection Of Proteases In Chronic Wounds,2,IDE,N,N,,866.3231,1,510(K),"A device to detect bacterial protease activity in chronic wound fluid is a lateral flow prescription device that may include a sterile swab. The device is intended for use in patients as an aid in assessing the risk for non-healing of chronic venous, diabetic foot, and pressure ulcers associated with wounds where there are no signs of wound infection and where patient are asymptomatic for clinical signs of infection.",Swab to collect wound fluid that is then mixed with a substrate and added to a lateral flow device for detection of enzymatic activity,Detection of enzymatic activity,Various - Skin (chronic wounds),N,N,Ineligible
MI,Microbiology,QEP,Nucleic Acid Detection System For Non-Viral Microorganism(S) Causing Sexually Transmitted Infections,2,IDE,N,N,,866.3393,1,510(K),A device to detect nucleic acids from non-viral microorganism(s) causing sexually transmitted infections is an in vitro diagnostic device intended for the detection and identification of nucleic acids from non-viral microorganism(s) in clinical specimens collected from patients suspected of sexually transmitted infections. The device is intended to aid in the diagnosis of non-viral sexually transmitted infections in conjunction with other clinical and laboratory data.,In vitro diagnostic device consisting of reagents and associated instrumentation for the detection of nucleic acid sequences from Mycoplasma genitalium in clinical specimens.,In vitro diagnostic device that detects and identifies nucleic acid sequences from Mycoplasma genitalium in clinical specimens.,Clinical specimens from patients suspected of Mycoplasma genitalium infection.,N,N,Ineligible
MI,Microbiology,OJY,Device To Detect Or Measure Nucleic Acid From Viruses Associated With Head And Neck Cancers,2,IDE,N,N,,866.3236,1,510(K),A device to detect or measure nucleic acid from viruses associated with head and neck cancers is an in vitro diagnostic test for prescription use in the detection of viral nucleic acid in nasopharyngeal or oropharyngeal cellular specimens from patients with signs and symptoms of head and neck cancer. The test result is intended to be used in conjunction with other clinical information to aid in assessing the clinical status of virus-associated head and neck cancers and/or the likelihood that head and neck cancer is present.,In vitro diagnostic device,Nucleic acid amplification,Nasopharyngeal or oropharyngeal specimens,N,N,Ineligible
HO,General Hospital,OHY,Pill Crusher/Cutter,1,Pre-Amendment,N,N,,880.6430,4,510(K) Exempt,A device used to cut or crush medication to aid in consumption.  The device is intended to only be used with medications that are labeled as acceptable for crushing or cutting.,"The device is aluminum/stainless steel with a handle, linkage arm, and anvil that are connected to pivot points by steel pins.",Cutting and/or crushing.,Pill,N,N,Eligible
SU,General & Plastic Surgery,OHV,Focused Ultrasound For Tissue Heat Or Mechanical Cellular Disruption,2,IDE,N,N,,878.4590,1,510(K),"A device using focused ultrasound to produce localized, mechanical motion within tissues and cells for the purpose of producing either localized heating for tissue coagulation or for mechanical cellular membrane disruption intended for non-invasive aesthetic use.",ultrasound,Use of focused ultrasound,soft tissue,N,N,Eligible
PA,Pathology,NYI,"Classifier, Prognostic, Recurrence Risk Assessment, Rna Gene Expression, Breast Cancer",2,IDE,N,N,,866.6040,1,510(K),"A device which uses a gene expression profile of a breast cancer tumor, from patients stage i or stage ii lymph node negative, with a tumor size of <5.0 cm, to provide a risk assessment for distant recurrence of breast cancer.  The result is indicated for use only as a prognostic marker by physicians along with a number of other factors to assess the risk of recurrence of breast cancer.","RNA isolation kits, enzymes, fluorescent dyes, hybridization systems, computer","Uses Gene expression and computer algorithm that gives risk of recurrence.  Gene expression involves isolation of RNA from frozen tumor tissue sections, amplification of RNA and hybridization.",breast tumor tissue sections,N,N,Eligible
NE,Neurology,QFX,Diagnostic Neurosurgical Microscope Filter,2,IDE,N,N,,882.4950,1,510(K),A diagnostic neurosurgical microscope filter is a device intended for use during neurosurgery to visualize fluorescence and enhance visualization of tissue associated with a specific disease or condition.,Microscope filter set that filters light,Utilizes excitation and emission filters to be used with surgical operating microscopes to facilitate visualization of fluorescence within specific wavelength bands.,Neurosurgical targets including brain and spinal cord,N,N,Ineligible
CH,Clinical Chemistry,QDJ,Direct-To-Consumer Access Pharmacogenetic Assessment System,2,IDE,N,N,,862.3364,1,510(K),"A direct-to-consumer access pharmacogenetic assessment system is a qualitative in vitro molecular diagnostic system used for detecting variants in nucleic acids isolated from human specimens the purpose of identifying pharmacogenetic associations for the detected variants. This device is for in vitro diagnostic use only, and is intended for direct access testing by lay users.",The test system includes reagents and instrumentation for measuring and analyzing nucleic acid sequences and methods for interpretation of the pharmacogenetic associations for detected nucleic acid sequence variations. The test system provides information on the pharmacogenetic associates for the detected variants in lay-user reports.,Measures and analyzes nucleic acid sequences and interprets pharmacogenetic associations for detected nucleic acid sequence variations.,"Sample collection device, molecular diagnostic test",N,N,Ineligible
HO,General Hospital,OPI,Antimicrobial Medical Glove,1,Pre-Amendment,N,N,,880.6250,1,510(K),A disposable  medical glove (examination or surgeons)  that is worn on the examiner's hand to prevent contamination between patient and examiner and to serve the indicated use of the added antimicrobial agent which may vary with the added antimicrobial agent.,A disposable  medical glove (examination or surgeons)  that is worn on the examiner's hand to prevent contamination between patient and examiner and to serve the indicated use of the added antimicrobial agent which may vary with the added antimicrobial agent.,A disposable  medical glove (examination or surgeons)  that is worn on the examiner's hand to prevent contamination between patient and examiner and to serve the indicated use of the added antimicrobial agent which may vary with the added antimicrobial agent.,Glove,N,N,Ineligible
